sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.028;6;;40rounds;Yes;No;2;0.45052;0.81793;0.14353;0.40989;1.26846;AverageTitForTat2@0;RandomBOAagent@1;0.8179314234085042;0.45052480944391127;0.8179314234085042;0.45052480944391127;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.025;8;;40rounds;Yes;No;2;0.65577;0.85335;0.04494;0.21573;1.50912;RandomBOAagent@2;AverageTitForTat2@3;0.8533471410223089;0.6557711432880349;0.8533471410223089;0.6557711432880349;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.014;5;;40rounds;Yes;No;2;0.66618;0.68422;0.18833;0.20830;1.35040;AverageTitForTat2@4;RandomBOAagent@5;0.6661822708325111;0.6842209799049482;0.6661822708325111;0.6842209799049482;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.010;4;;40rounds;Yes;No;2;0.44650;0.96739;0.00000;0.35080;1.41389;RandomBOAagent@6;AverageTitForTat2@7;0.44650169484801394;0.967392340922074;0.44650169484801394;0.967392340922074;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.011;4;;40rounds;Yes;No;2;0.48606;0.95699;0.00000;0.41249;1.44305;AverageTitForTat2@8;RandomBOAagent@9;0.9569929945266572;0.48605693266114314;0.9569929945266572;0.48605693266114314;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.017;6;;40rounds;Yes;No;2;0.52492;0.93658;0.02457;0.26673;1.46151;RandomBOAagent@10;AverageTitForTat2@11;0.5249244179351613;0.9365817421050544;0.5249244179351613;0.9365817421050544;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.010;6;;40rounds;Yes;No;2;0.35116;0.84993;0.12967;0.51229;1.20109;AverageTitForTat2@12;RandomBOAagent@13;0.8499262258238187;0.3511609348524088;0.8499262258238187;0.3511609348524088;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.016;5;;40rounds;Yes;No;2;0.50372;0.72912;0.22541;0.30516;1.23284;RandomBOAagent@14;AverageTitForTat2@15;0.5037196276805294;0.7291248545206995;0.5037196276805294;0.7291248545206995;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.019;11;;40rounds;Yes;No;2;0.62039;0.83724;0.08280;0.24504;1.45763;AverageTitForTat2@16;RandomBOAagent@17;0.8372386443659787;0.6203892285306777;0.8372386443659787;0.6203892285306777;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.012;5;;40rounds;Yes;No;2;0.67207;0.75510;0.12743;0.18824;1.42717;RandomBOAagent@18;AverageTitForTat2@19;0.7550962935983018;0.6720749728269978;0.7550962935983018;0.6720749728269978;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.012;4;;40rounds;Yes;No;2;0.48606;0.95699;0.00000;0.41249;1.44305;AverageTitForTat2@20;RandomBOAagent@21;0.9569929945266572;0.48605693266114314;0.9569929945266572;0.48605693266114314;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.012;7;;40rounds;Yes;No;2;0.66335;0.66990;0.19602;0.22422;1.33325;RandomBOAagent@22;AverageTitForTat2@23;0.6699018985130407;0.6633458344256479;0.6699018985130407;0.6633458344256479;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.007;5;;40rounds;Yes;No;2;0.51687;0.87857;0.08426;0.35571;1.39544;AverageTitForTat2@24;RandomBOAagent@25;0.8785702714395097;0.5168675314781628;0.8785702714395097;0.5168675314781628;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.015;5;;40rounds;Yes;No;2;0.58352;0.89126;0.04914;0.19919;1.47478;RandomBOAagent@26;AverageTitForTat2@27;0.5835190166854494;0.8912643740099782;0.5835190166854494;0.8912643740099782;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.007;4;;40rounds;Yes;No;2;0.48606;0.95699;0.00000;0.41249;1.44305;AverageTitForTat2@28;RandomBOAagent@29;0.9569929945266572;0.48605693266114314;0.9569929945266572;0.48605693266114314;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
