sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.023;5;;40rounds;Yes;No;2;0.48296;0.76241;0.00366;0.19426;1.24537;AverageTitForTat1@0;RandomBOAagent@1;0.7624113892736645;0.4829617994342217;0.7624113892736645;0.4829617994342217;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.011;5;;40rounds;Yes;No;2;0.50680;0.74694;0.00714;0.17408;1.25374;RandomBOAagent@2;AverageTitForTat1@3;0.5068004978866438;0.7469442129866128;0.5068004978866438;0.7469442129866128;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.024;6;;40rounds;Yes;No;2;0.55229;0.69054;0.01414;0.10326;1.24282;AverageTitForTat1@4;RandomBOAagent@5;0.5522859455788717;0.6905370980605584;0.5522859455788717;0.6905370980605584;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.008;4;;40rounds;Yes;No;2;0.48759;0.76704;0.00510;0.20180;1.25463;RandomBOAagent@6;AverageTitForTat1@7;0.4875886107263355;0.7670382005657783;0.4875886107263355;0.7670382005657783;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.016;8;;40rounds;Yes;No;2;0.40733;0.84777;0.00000;0.30758;1.25510;AverageTitForTat1@8;RandomBOAagent@9;0.8477733823159715;0.4073303854784269;0.8477733823159715;0.4073303854784269;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.010;4;;40rounds;Yes;No;2;0.55758;0.69457;0.00366;0.09352;1.25215;RandomBOAagent@10;AverageTitForTat1@11;0.694567092297509;0.5575848641693468;0.694567092297509;0.5575848641693468;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.009;5;;40rounds;Yes;No;2;0.51114;0.72666;0.01751;0.14991;1.23780;AverageTitForTat1@12;RandomBOAagent@13;0.7266614783816385;0.5111400430215638;0.7266614783816385;0.5111400430215638;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.005;3;;40rounds;Yes;No;2;0.36333;0.89217;0.00000;0.37803;1.25550;RandomBOAagent@14;AverageTitForTat1@15;0.3633317337132552;0.8921702226827434;0.3633317337132552;0.8921702226827434;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.009;5;;40rounds;Yes;No;2;0.53032;0.71888;0.00876;0.13001;1.24920;AverageTitForTat1@16;RandomBOAagent@17;0.7188832972054326;0.5303203255913671;0.7188832972054326;0.5303203255913671;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.017;4;;40rounds;Yes;No;2;0.49124;0.76210;0.00714;0.19578;1.25335;RandomBOAagent@18;AverageTitForTat1@19;0.49124214648936015;0.7621043757822963;0.49124214648936015;0.7621043757822963;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.009;5;;40rounds;Yes;No;2;0.30544;0.93993;0.00000;0.44494;1.24538;AverageTitForTat1@20;RandomBOAagent@21;0.9399338842000504;0.30544278216532195;0.9399338842000504;0.30544278216532195;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.017;4;;40rounds;Yes;No;2;0.50876;0.73790;0.01386;0.16668;1.24665;RandomBOAagent@22;AverageTitForTat1@23;0.5087578535106398;0.7378956242177037;0.5087578535106398;0.7378956242177037;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.022;6;;40rounds;Yes;No;2;0.55327;0.69761;0.00876;0.10672;1.25088;AverageTitForTat1@24;RandomBOAagent@25;0.5532656179133058;0.6976130048480653;0.5532656179133058;0.6976130048480653;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.016;9;;40rounds;Yes;No;2;0.50463;0.75214;0.00366;0.17917;1.25678;RandomBOAagent@26;AverageTitForTat1@27;0.5046332080974586;0.752142082004025;0.5046332080974586;0.752142082004025;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.010;5;;40rounds;Yes;No;2;0.49004;0.76339;0.00000;0.18957;1.25343;AverageTitForTat1@28;RandomBOAagent@29;0.7633910616080984;0.49003770622172865;0.7633910616080984;0.49003770622172865;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
