sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.022;4;;40rounds;Yes;No;2;0.56370;0.61577;0.02929;0.07586;1.17947;AverageTitForTat1@0;RandomBOAagent@1;0.6157671589734207;0.563704737005541;0.6157671589734207;0.563704737005541;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.007;4;;40rounds;Yes;No;2;0.29692;0.91111;0.00499;0.40498;1.20804;RandomBOAagent@2;AverageTitForTat1@3;0.2969230989689484;0.9111131421635014;0.2969230989689484;0.9111131421635014;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.012;4;;40rounds;Yes;No;2;0.39495;0.79920;0.01726;0.31658;1.19415;AverageTitForTat1@4;RandomBOAagent@5;0.7991989879318985;0.39495186848475355;0.7991989879318985;0.39495186848475355;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.030;5;;40rounds;Yes;No;2;0.55267;0.65401;0.00798;0.04544;1.20668;RandomBOAagent@6;AverageTitForTat1@7;0.5526743158748181;0.6540082945507701;0.5526743158748181;0.6540082945507701;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.022;10;;40rounds;Yes;No;2;0.58734;0.63236;0.00340;0.06202;1.21969;AverageTitForTat1@8;RandomBOAagent@9;0.6323595372198628;0.5873350999589352;0.6323595372198628;0.5873350999589352;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.025;6;;40rounds;Yes;No;2;0.47714;0.73205;0.00608;0.15141;1.20919;RandomBOAagent@10;AverageTitForTat1@11;0.4771381700055106;0.7320522787906315;0.4771381700055106;0.7320522787906315;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.031;9;;40rounds;Yes;No;2;0.39973;0.78960;0.02364;0.30675;1.18933;AverageTitForTat1@12;RandomBOAagent@13;0.7895971638986868;0.3997343794254768;0.7895971638986868;0.3997343794254768;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.015;6;;40rounds;Yes;No;2;0.46607;0.75310;0.00340;0.17353;1.21917;RandomBOAagent@14;AverageTitForTat1@15;0.46606782390220514;0.7531019293208974;0.46606782390220514;0.7531019293208974;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.022;5;;40rounds;Yes;No;2;0.55980;0.64312;0.01490;0.09079;1.20293;AverageTitForTat1@16;RandomBOAagent@17;0.6431239230471033;0.5598043595268446;0.6431239230471033;0.5598043595268446;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.011;3;;40rounds;Yes;No;2;0.28732;0.91590;0.00608;0.41530;1.20322;RandomBOAagent@18;AverageTitForTat1@19;0.2873212749357367;0.9158956531042246;0.2873212749357367;0.9158956531042246;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.018;6;;40rounds;Yes;No;2;0.51759;0.69723;0.00962;0.15709;1.21482;AverageTitForTat1@20;RandomBOAagent@21;0.6972290592450133;0.5175942320653262;0.6972290592450133;0.5175942320653262;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.006;4;;40rounds;Yes;No;2;0.53728;0.65322;0.02285;0.05973;1.19050;RandomBOAagent@22;AverageTitForTat1@23;0.5372802395054306;0.6532207288118824;0.5372802395054306;0.6532207288118824;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
