sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.044;19;;40rounds;Yes;No;2;0.36803;0.97850;0.00000;0.52925;1.34652;TimeDependentAgentBoulware@0;RandomBOAagent@1;0.9784964972633285;0.36802846633057157;0.9784964972633285;0.36802846633057157;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.114;23;;40rounds;Yes;No;2;0.32842;0.96919;0.02457;0.46493;1.29761;RandomBOAagent@2;TimeDependentAgentBoulware@3;0.32842272308714743;0.9691894011829802;0.32842272308714743;0.9691894011829802;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.082;23;;40rounds;Yes;No;2;0.48606;0.95699;0.00000;0.41249;1.44305;TimeDependentAgentBoulware@4;RandomBOAagent@5;0.9569929945266572;0.48605693266114314;0.9569929945266572;0.48605693266114314;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.076;26;;40rounds;Yes;No;2;0.54475;0.95109;0.00000;0.25277;1.49584;RandomBOAagent@6;TimeDependentAgentBoulware@7;0.544752542272021;0.9510885113831111;0.544752542272021;0.9510885113831111;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.067;26;;40rounds;Yes;No;2;0.60409;0.93549;0.00000;0.29829;1.53957;TimeDependentAgentBoulware@8;RandomBOAagent@9;0.9354894917899859;0.6040853989917148;0.9354894917899859;0.6040853989917148;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.068;23;;40rounds;Yes;No;2;0.32842;0.96919;0.02457;0.46493;1.29761;RandomBOAagent@10;TimeDependentAgentBoulware@11;0.32842272308714743;0.9691894011829802;0.32842272308714743;0.9691894011829802;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.058;21;;40rounds;Yes;No;2;0.36803;0.97850;0.00000;0.52925;1.34652;TimeDependentAgentBoulware@12;RandomBOAagent@13;0.9784964972633285;0.36802846633057157;0.9784964972633285;0.36802846633057157;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.084;29;;40rounds;Yes;No;2;0.48527;0.90757;0.07129;0.29878;1.39284;RandomBOAagent@14;TimeDependentAgentBoulware@15;0.4852681692614423;0.9075682035489411;0.4852681692614423;0.9075682035489411;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.075;26;;40rounds;Yes;No;2;0.60409;0.93549;0.00000;0.29829;1.53957;TimeDependentAgentBoulware@16;RandomBOAagent@17;0.9354894917899859;0.6040853989917148;0.9354894917899859;0.6040853989917148;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
;;;0.043;19;;40rounds;Yes;No;2;0.34825;0.98370;0.00000;0.44951;1.33195;RandomBOAagent@18;TimeDependentAgentBoulware@19;0.34825084742400697;0.983696170461037;0.34825084742400697;0.983696170461037;0.0;0.0;JaspAronSmallDiscreteDomain_util1.xml;JaspAronSmallDiscreteDomain_util3.xml
