sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.090;35;;40rounds;Yes;No;2;0.52238;0.68763;0.01052;0.14726;1.21000;TimeDependentAgentBoulware@0;RandomBOAagent@1;0.6876272352118017;0.5223767430060494;0.6876272352118017;0.5223767430060494;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.107;33;;40rounds;Yes;No;2;0.39402;0.80234;0.01304;0.26025;1.19636;RandomBOAagent@2;TimeDependentAgentBoulware@3;0.3940186561478525;0.802343971608792;0.3940186561478525;0.802343971608792;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.085;38;;40rounds;Yes;No;2;0.54661;0.66629;0.01192;0.05649;1.21290;TimeDependentAgentBoulware@4;RandomBOAagent@5;0.5466067429176926;0.6662934225186676;0.5466067429176926;0.6662934225186676;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.134;35;;40rounds;Yes;No;2;0.48879;0.72998;0.00000;0.14117;1.21877;RandomBOAagent@6;TimeDependentAgentBoulware@7;0.4887919935862197;0.72997725285402;0.4887919935862197;0.72997725285402;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.122;33;;40rounds;Yes;No;2;0.39059;0.82089;0.00849;0.33421;1.21148;TimeDependentAgentBoulware@8;RandomBOAagent@9;0.8208919013076043;0.39059008478994106;0.8208919013076043;0.39059008478994106;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.088;35;;40rounds;Yes;No;2;0.48879;0.72998;0.00000;0.14117;1.21877;RandomBOAagent@10;TimeDependentAgentBoulware@11;0.4887919935862197;0.72997725285402;0.4887919935862197;0.72997725285402;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.084;30;;40rounds;Yes;No;2;0.35825;0.86450;0.00000;0.38767;1.22275;TimeDependentAgentBoulware@12;RandomBOAagent@13;0.8644993432686384;0.3582479536569403;0.8644993432686384;0.3582479536569403;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.091;37;;40rounds;Yes;No;2;0.57875;0.63721;0.00804;0.01590;1.21595;RandomBOAagent@14;TimeDependentAgentBoulware@15;0.5787465489664683;0.6372062762166727;0.5787465489664683;0.6372062762166727;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.068;33;;40rounds;Yes;No;2;0.42890;0.78941;0.00499;0.28471;1.21832;TimeDependentAgentBoulware@16;RandomBOAagent@17;0.7894131728106252;0.42890315987042044;0.7894131728106252;0.42890315987042044;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.106;35;;40rounds;Yes;No;2;0.49750;0.69974;0.01687;0.11587;1.19724;RandomBOAagent@18;TimeDependentAgentBoulware@19;0.4975043798659629;0.6997390274178177;0.4975043798659629;0.6997390274178177;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
