sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.103;31;;40rounds;Yes;No;2;0.57065;0.83218;0.07184;0.26872;1.40284;TimeDependentAgentBoulware@0;RandomBOAagent@1;0.8321821066890411;0.5706549311813323;0.8321821066890411;0.5706549311813323;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.050;31;;40rounds;Yes;No;2;0.54630;0.85828;0.05682;0.19677;1.40457;RandomBOAagent@2;TimeDependentAgentBoulware@3;0.5462959619304972;0.8582776654580657;0.5462959619304972;0.8582776654580657;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.077;29;;40rounds;Yes;No;2;0.58434;0.88164;0.03117;0.27761;1.46598;TimeDependentAgentBoulware@4;RandomBOAagent@5;0.881644643004577;0.5843396066474063;0.881644643004577;0.5843396066474063;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.068;30;;40rounds;Yes;No;2;0.47630;0.88103;0.05100;0.26990;1.35732;RandomBOAagent@6;TimeDependentAgentBoulware@7;0.4762953794086181;0.8810261145847399;0.4762953794086181;0.8810261145847399;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.050;16;;40rounds;Yes;No;2;0.20000;1.00000;0.00000;0.67514;1.20000;TimeDependentAgentBoulware@8;RandomBOAagent@9;1.0;0.20000000000000004;1.0;0.20000000000000004;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.104;30;;40rounds;Yes;No;2;0.47630;0.88103;0.05100;0.26990;1.35732;RandomBOAagent@10;TimeDependentAgentBoulware@11;0.4762953794086181;0.8810261145847399;0.4762953794086181;0.8810261145847399;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.080;28;;40rounds;Yes;No;2;0.55365;0.90170;0.01612;0.31424;1.45536;TimeDependentAgentBoulware@12;RandomBOAagent@13;0.9017049347132235;0.5536528343411755;0.9017049347132235;0.5536528343411755;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.070;31;;40rounds;Yes;No;2;0.54630;0.85828;0.05682;0.19677;1.40457;RandomBOAagent@14;TimeDependentAgentBoulware@15;0.5462959619304972;0.8582776654580657;0.5462959619304972;0.8582776654580657;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.063;25;;40rounds;Yes;No;2;0.40731;0.94450;0.03117;0.46334;1.35181;TimeDependentAgentBoulware@16;RandomBOAagent@17;0.944500029242386;0.4073121674034325;0.944500029242386;0.4073121674034325;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.096;30;;40rounds;Yes;No;2;0.47630;0.88103;0.05100;0.26990;1.35732;RandomBOAagent@18;TimeDependentAgentBoulware@19;0.4762953794086181;0.8810261145847399;0.4762953794086181;0.8810261145847399;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.058;28;;40rounds;Yes;No;2;0.55365;0.90170;0.01612;0.31424;1.45536;TimeDependentAgentBoulware@20;RandomBOAagent@21;0.9017049347132235;0.5536528343411755;0.9017049347132235;0.5536528343411755;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.086;24;;40rounds;Yes;No;2;0.31385;0.96394;0.02528;0.44874;1.27779;RandomBOAagent@22;TimeDependentAgentBoulware@23;0.31384612278758556;0.9639445452932249;0.31384612278758556;0.9639445452932249;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.079;22;;40rounds;Yes;No;2;0.35840;0.96790;0.00000;0.51756;1.32630;TimeDependentAgentBoulware@24;RandomBOAagent@25;0.9679036298150536;0.3583979303752609;0.9679036298150536;0.3583979303752609;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.086;30;;40rounds;Yes;No;2;0.47630;0.88103;0.05100;0.26990;1.35732;RandomBOAagent@26;TimeDependentAgentBoulware@27;0.4762953794086181;0.8810261145847399;0.4762953794086181;0.8810261145847399;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.068;28;;40rounds;Yes;No;2;0.55365;0.90170;0.01612;0.31424;1.45536;TimeDependentAgentBoulware@28;RandomBOAagent@29;0.9017049347132235;0.5536528343411755;0.9017049347132235;0.5536528343411755;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.086;29;;40rounds;Yes;No;2;0.43197;0.90008;0.05422;0.31741;1.33205;RandomBOAagent@30;TimeDependentAgentBoulware@31;0.4319720846452149;0.9000794724513582;0.4319720846452149;0.9000794724513582;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.055;28;;40rounds;Yes;No;2;0.55365;0.90170;0.01612;0.31424;1.45536;TimeDependentAgentBoulware@32;RandomBOAagent@33;0.9017049347132235;0.5536528343411755;0.9017049347132235;0.5536528343411755;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.101;29;;40rounds;Yes;No;2;0.43197;0.90008;0.05422;0.31741;1.33205;RandomBOAagent@34;TimeDependentAgentBoulware@35;0.4319720846452149;0.9000794724513582;0.4319720846452149;0.9000794724513582;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.060;29;;40rounds;Yes;No;2;0.58434;0.88164;0.03117;0.27761;1.46598;TimeDependentAgentBoulware@36;RandomBOAagent@37;0.881644643004577;0.5843396066474063;0.881644643004577;0.5843396066474063;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.078;29;;40rounds;Yes;No;2;0.43197;0.90008;0.05422;0.31741;1.33205;RandomBOAagent@38;TimeDependentAgentBoulware@39;0.4319720846452149;0.9000794724513582;0.4319720846452149;0.9000794724513582;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.055;27;;40rounds;Yes;No;2;0.47445;0.91775;0.04603;0.39133;1.39221;TimeDependentAgentBoulware@40;RandomBOAagent@41;0.9177531198056967;0.47445386915354504;0.9177531198056967;0.47445386915354504;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.062;31;;40rounds;Yes;No;2;0.55652;0.87608;0.04061;0.19089;1.43260;RandomBOAagent@42;TimeDependentAgentBoulware@43;0.5565169317770166;0.8760812811821012;0.5565169317770166;0.8760812811821012;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.101;27;;40rounds;Yes;No;2;0.47445;0.91775;0.04603;0.39133;1.39221;TimeDependentAgentBoulware@44;RandomBOAagent@45;0.9177531198056967;0.47445386915354504;0.9177531198056967;0.47445386915354504;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.055;30;;40rounds;Yes;No;2;0.47630;0.88103;0.05100;0.26990;1.35732;RandomBOAagent@46;TimeDependentAgentBoulware@47;0.4762953794086181;0.8810261145847399;0.4762953794086181;0.8810261145847399;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.103;28;;40rounds;Yes;No;2;0.55365;0.90170;0.01612;0.31424;1.45536;TimeDependentAgentBoulware@48;RandomBOAagent@49;0.9017049347132235;0.5536528343411755;0.9017049347132235;0.5536528343411755;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.074;29;;40rounds;Yes;No;2;0.43197;0.90008;0.05422;0.31741;1.33205;RandomBOAagent@50;TimeDependentAgentBoulware@51;0.4319720846452149;0.9000794724513582;0.4319720846452149;0.9000794724513582;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.050;29;;40rounds;Yes;No;2;0.58434;0.88164;0.03117;0.27761;1.46598;TimeDependentAgentBoulware@52;RandomBOAagent@53;0.881644643004577;0.5843396066474063;0.881644643004577;0.5843396066474063;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.038;29;;40rounds;Yes;No;2;0.43197;0.90008;0.05422;0.31741;1.33205;RandomBOAagent@54;TimeDependentAgentBoulware@55;0.4319720846452149;0.9000794724513582;0.4319720846452149;0.9000794724513582;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.087;29;;40rounds;Yes;No;2;0.58434;0.88164;0.03117;0.27761;1.46598;TimeDependentAgentBoulware@56;RandomBOAagent@57;0.881644643004577;0.5843396066474063;0.881644643004577;0.5843396066474063;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.065;31;;40rounds;Yes;No;2;0.59014;0.84497;0.05100;0.15134;1.43511;RandomBOAagent@58;TimeDependentAgentBoulware@59;0.5901415021962036;0.8449706598779649;0.5901415021962036;0.8449706598779649;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.070;28;;40rounds;Yes;No;2;0.55365;0.90170;0.01612;0.31424;1.45536;TimeDependentAgentBoulware@60;RandomBOAagent@61;0.9017049347132235;0.5536528343411755;0.9017049347132235;0.5536528343411755;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.061;30;;40rounds;Yes;No;2;0.47630;0.88103;0.05100;0.26990;1.35732;RandomBOAagent@62;TimeDependentAgentBoulware@63;0.4762953794086181;0.8810261145847399;0.4762953794086181;0.8810261145847399;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.081;26;;40rounds;Yes;No;2;0.27371;0.93180;0.05244;0.58187;1.20551;TimeDependentAgentBoulware@64;RandomBOAagent@65;0.9317953501662322;0.2737139471813074;0.9317953501662322;0.2737139471813074;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.034;30;;40rounds;Yes;No;2;0.47630;0.88103;0.05100;0.26990;1.35732;RandomBOAagent@66;TimeDependentAgentBoulware@67;0.4762953794086181;0.8810261145847399;0.4762953794086181;0.8810261145847399;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.110;28;;40rounds;Yes;No;2;0.55365;0.90170;0.01612;0.31424;1.45536;TimeDependentAgentBoulware@68;RandomBOAagent@69;0.9017049347132235;0.5536528343411755;0.9017049347132235;0.5536528343411755;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.073;31;;40rounds;Yes;No;2;0.54630;0.85828;0.05682;0.19677;1.40457;RandomBOAagent@70;TimeDependentAgentBoulware@71;0.5462959619304972;0.8582776654580657;0.5462959619304972;0.8582776654580657;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.031;25;;40rounds;Yes;No;2;0.40731;0.94450;0.03117;0.46334;1.35181;TimeDependentAgentBoulware@72;RandomBOAagent@73;0.944500029242386;0.4073121674034325;0.944500029242386;0.4073121674034325;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.084;33;;40rounds;Yes;No;2;0.62472;0.80237;0.07930;0.11700;1.42709;RandomBOAagent@74;TimeDependentAgentBoulware@75;0.6247215816107843;0.8023673340007937;0.6247215816107843;0.8023673340007937;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.054;34;;40rounds;Yes;No;2;0.61408;0.75662;0.11967;0.20961;1.37071;TimeDependentAgentBoulware@76;RandomBOAagent@77;0.7566220413750787;0.6140841502031809;0.7566220413750787;0.6140841502031809;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.076;32;;40rounds;Yes;No;2;0.49970;0.83211;0.08915;0.24036;1.33181;RandomBOAagent@78;TimeDependentAgentBoulware@79;0.49969897998128593;0.8321118775565682;0.49969897998128593;0.8321118775565682;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.060;22;;40rounds;Yes;No;2;0.35840;0.96790;0.00000;0.51756;1.32630;TimeDependentAgentBoulware@80;RandomBOAagent@81;0.9679036298150536;0.3583979303752609;0.9679036298150536;0.3583979303752609;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.064;30;;40rounds;Yes;No;2;0.47630;0.88103;0.05100;0.26990;1.35732;RandomBOAagent@82;TimeDependentAgentBoulware@83;0.4762953794086181;0.8810261145847399;0.4762953794086181;0.8810261145847399;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.043;29;;40rounds;Yes;No;2;0.58434;0.88164;0.03117;0.27761;1.46598;TimeDependentAgentBoulware@84;RandomBOAagent@85;0.881644643004577;0.5843396066474063;0.881644643004577;0.5843396066474063;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.068;33;;40rounds;Yes;No;2;0.62472;0.80237;0.07930;0.11700;1.42709;RandomBOAagent@86;TimeDependentAgentBoulware@87;0.6247215816107843;0.8023673340007937;0.6247215816107843;0.8023673340007937;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.038;28;;40rounds;Yes;No;2;0.55365;0.90170;0.01612;0.31424;1.45536;TimeDependentAgentBoulware@88;RandomBOAagent@89;0.9017049347132235;0.5536528343411755;0.9017049347132235;0.5536528343411755;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.054;29;;40rounds;Yes;No;2;0.43197;0.90008;0.05422;0.31741;1.33205;RandomBOAagent@90;TimeDependentAgentBoulware@91;0.4319720846452149;0.9000794724513582;0.4319720846452149;0.9000794724513582;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
;;;0.053;29;;40rounds;Yes;No;2;0.58434;0.88164;0.03117;0.27761;1.46598;TimeDependentAgentBoulware@92;RandomBOAagent@93;0.881644643004577;0.5843396066474063;0.881644643004577;0.5843396066474063;0.0;0.0;JaspAronMediumDiscreteDomain_util1.xml;JaspAronMediumDiscreteDomain_util2.xml
