sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.031;6;;40rounds;Yes;No;2;0.33306;0.86928;0.01139;0.40932;1.20234;AverageTitForTat2@0;RandomBOAagent@1;0.8692823852437316;0.3330611848336418;0.8692823852437316;0.3330611848336418;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.013;7;;40rounds;Yes;No;2;0.52023;0.67661;0.01926;0.08450;1.19684;RandomBOAagent@2;AverageTitForTat2@3;0.5202285495499774;0.6766143509509404;0.5202285495499774;0.6766143509509404;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.026;7;;40rounds;Yes;No;2;0.55413;0.62389;0.03227;0.08747;1.17801;AverageTitForTat2@4;RandomBOAagent@5;0.6238867314780436;0.5541270940417553;0.6238867314780436;0.5541270940417553;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.012;7;;40rounds;Yes;No;2;0.55255;0.61836;0.03925;0.04585;1.17091;RandomBOAagent@6;AverageTitForTat2@7;0.5525523466868147;0.6183584242040018;0.5525523466868147;0.6183584242040018;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.023;8;;40rounds;Yes;No;2;0.50594;0.72173;0.00000;0.18225;1.22767;AverageTitForTat2@8;RandomBOAagent@9;0.721732811703097;0.5059382380672717;0.721732811703097;0.5059382380672717;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.009;4;;40rounds;Yes;No;2;0.34710;0.86486;0.00340;0.33674;1.21196;RandomBOAagent@10;AverageTitForTat2@11;0.3471017947097293;0.8648604641320894;0.3471017947097293;0.8648604641320894;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.018;6;;40rounds;Yes;No;2;0.59990;0.60237;0.01687;0.03747;1.20227;AverageTitForTat2@12;RandomBOAagent@13;0.6023694927016683;0.5999021071792036;0.6023694927016683;0.5999021071792036;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.030;14;;40rounds;Yes;No;2;0.51339;0.69909;0.00775;0.10252;1.21249;RandomBOAagent@14;AverageTitForTat2@15;0.513393508027387;0.6990936347701272;0.513393508027387;0.6990936347701272;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.019;10;;40rounds;Yes;No;2;0.50557;0.71370;0.00465;0.17701;1.21927;AverageTitForTat2@16;RandomBOAagent@17;0.7136994683034519;0.505574724671952;0.7136994683034519;0.505574724671952;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.013;4;;40rounds;Yes;No;2;0.50719;0.68502;0.01869;0.09997;1.19221;RandomBOAagent@18;AverageTitForTat2@19;0.5071924330041523;0.6850153601179891;0.5071924330041523;0.6850153601179891;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.024;12;;40rounds;Yes;No;2;0.40840;0.78696;0.01761;0.29841;1.19536;AverageTitForTat2@20;RandomBOAagent@21;0.7869638834541748;0.4084010091670487;0.7869638834541748;0.4084010091670487;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.027;7;;40rounds;Yes;No;2;0.56513;0.65698;0.00000;0.03588;1.22211;RandomBOAagent@22;AverageTitForTat2@23;0.5651291515236287;0.6569814001294052;0.5651291515236287;0.6569814001294052;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.020;11;;40rounds;Yes;No;2;0.59701;0.62187;0.00340;0.04802;1.21888;AverageTitForTat2@24;RandomBOAagent@25;0.6218704720135717;0.5970106357435174;0.6218704720135717;0.5970106357435174;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.041;10;;40rounds;Yes;No;2;0.59935;0.61589;0.00804;0.04285;1.21524;RandomBOAagent@26;AverageTitForTat2@27;0.615889128161424;0.5993546073523094;0.615889128161424;0.5993546073523094;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.023;8;;40rounds;Yes;No;2;0.40307;0.81009;0.00447;0.31770;1.21316;AverageTitForTat2@28;RandomBOAagent@29;0.8100853429471424;0.4030709983994314;0.8100853429471424;0.4030709983994314;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.042;11;;40rounds;Yes;No;2;0.55320;0.66370;0.00792;0.10825;1.21690;RandomBOAagent@30;AverageTitForTat2@31;0.6636983312005369;0.5531998221416938;0.6636983312005369;0.5531998221416938;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.011;5;;40rounds;Yes;No;2;0.48204;0.69474;0.03331;0.18411;1.17678;AverageTitForTat2@32;RandomBOAagent@33;0.6947375973553418;0.4820422545393542;0.6947375973553418;0.4820422545393542;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.038;9;;40rounds;Yes;No;2;0.53397;0.69249;0.00000;0.08251;1.22646;RandomBOAagent@34;AverageTitForTat2@35;0.5339679161808205;0.6924890973849764;0.5339679161808205;0.6924890973849764;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.045;14;;40rounds;Yes;No;2;0.43902;0.75669;0.01981;0.25551;1.19571;AverageTitForTat2@36;RandomBOAagent@37;0.756689889284446;0.43901568157876103;0.756689889284446;0.43901568157876103;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.010;6;;40rounds;Yes;No;2;0.38982;0.81616;0.01280;0.27241;1.20597;RandomBOAagent@38;AverageTitForTat2@39;0.3898168950697739;0.8161566256864069;0.3898168950697739;0.8161566256864069;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.015;7;;40rounds;Yes;No;2;0.51268;0.68410;0.01523;0.09475;1.19678;AverageTitForTat2@40;RandomBOAagent@41;0.5126787250642633;0.6841043468957753;0.5126787250642633;0.6841043468957753;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.010;6;;40rounds;Yes;No;2;0.47969;0.73333;0.00340;0.15026;1.21301;RandomBOAagent@42;AverageTitForTat2@43;0.47968522134504477;0.733326805408165;0.47968522134504477;0.733326805408165;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.011;6;;40rounds;Yes;No;2;0.58192;0.62353;0.01280;0.06180;1.20545;AverageTitForTat2@44;RandomBOAagent@45;0.6235251817521161;0.5819234550483691;0.6235251817521161;0.5819234550483691;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.026;15;;40rounds;Yes;No;2;0.59004;0.63441;0.00000;0.06121;1.22445;RandomBOAagent@46;AverageTitForTat2@47;0.6344115367673602;0.590042584963047;0.6344115367673602;0.590042584963047;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.018;10;;40rounds;Yes;No;2;0.53242;0.68517;0.00340;0.13800;1.21759;AverageTitForTat2@48;RandomBOAagent@49;0.6851715134051556;0.5324157921859513;0.6851715134051556;0.5324157921859513;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.032;14;;40rounds;Yes;No;2;0.49916;0.68465;0.02584;0.10690;1.18381;RandomBOAagent@50;AverageTitForTat2@51;0.49915908960450733;0.6846518467226694;0.49915908960450733;0.6846518467226694;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.016;9;;40rounds;Yes;No;2;0.49782;0.71085;0.01288;0.18098;1.20867;AverageTitForTat2@52;RandomBOAagent@53;0.710846456687853;0.4978191081525937;0.710846456687853;0.4978191081525937;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.010;6;;40rounds;Yes;No;2;0.52465;0.67922;0.01501;0.08196;1.20387;RandomBOAagent@54;AverageTitForTat2@55;0.5246500417991431;0.6792239431342557;0.5246500417991431;0.6792239431342557;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.027;10;;40rounds;Yes;No;2;0.56023;0.65048;0.01052;0.09458;1.21071;AverageTitForTat2@56;RandomBOAagent@57;0.6504846560168459;0.5602284118704127;0.6504846560168459;0.5602284118704127;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.012;4;;40rounds;Yes;No;2;0.42893;0.79095;0.00000;0.22649;1.21988;RandomBOAagent@58;AverageTitForTat2@59;0.4289252447072493;0.7909535981852607;0.4289252447072493;0.7909535981852607;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.010;5;;40rounds;Yes;No;2;0.35710;0.83634;0.01726;0.36949;1.19344;AverageTitForTat2@60;RandomBOAagent@61;0.8363415671268543;0.35710019962039025;0.8363415671268543;0.35710019962039025;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.010;7;;40rounds;Yes;No;2;0.32523;0.86785;0.01052;0.35507;1.19308;RandomBOAagent@62;AverageTitForTat2@63;0.3252313226961576;0.867849828388572;0.3252313226961576;0.867849828388572;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.017;6;;40rounds;Yes;No;2;0.43938;0.76472;0.01280;0.26040;1.20410;AverageTitForTat2@64;RandomBOAagent@65;0.7647232326840911;0.43937919497408073;0.7647232326840911;0.43937919497408073;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.018;7;;40rounds;Yes;No;2;0.48937;0.71860;0.01052;0.13346;1.20798;RandomBOAagent@66;AverageTitForTat2@67;0.48937327448323414;0.7186031381083364;0.48937327448323414;0.7186031381083364;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.016;11;;40rounds;Yes;No;2;0.42997;0.78562;0.00608;0.28134;1.21558;AverageTitForTat2@68;RandomBOAagent@69;0.7856151339916954;0.4299692797640217;0.7856151339916954;0.4299692797640217;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.014;7;;40rounds;Yes;No;2;0.28995;0.90723;0.00829;0.40754;1.19718;RandomBOAagent@70;AverageTitForTat2@71;0.28995455538024867;0.9072290233626527;0.28995455538024867;0.9072290233626527;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
;;;0.008;6;;40rounds;Yes;No;2;0.46910;0.75102;0.00340;0.22913;1.22012;AverageTitForTat2@72;RandomBOAagent@73;0.7510196061362736;0.4690954752459185;0.7510196061362736;0.4690954752459185;0.0;0.0;JaspAronMediumDiscreteDomain_util3.xml;JaspAronMediumDiscreteDomain_util4.xml
