sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.025;5;;40rounds;Yes;No;2;0.41551;0.72025;0.07652;0.15494;1.13576;AverageTitForTat2@0;RandomBOAagent@1;0.7202523251733095;0.41550933668607065;0.7202523251733095;0.41550933668607065;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.010;5;;40rounds;Yes;No;2;0.40092;0.70786;0.08829;0.32973;1.10878;RandomBOAagent@2;AverageTitForTat2@3;0.40091919181022684;0.7078566868595939;0.40091919181022684;0.7078566868595939;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.025;7;;40rounds;Yes;No;2;0.44283;0.78175;0.01779;0.15042;1.22459;AverageTitForTat2@4;RandomBOAagent@5;0.7817548869675878;0.4428322128243441;0.7817548869675878;0.4428322128243441;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.013;7;;40rounds;Yes;No;2;0.44391;0.71126;0.05601;0.29293;1.15518;RandomBOAagent@6;AverageTitForTat2@7;0.44391376205870436;0.7112629621947407;0.44391376205870436;0.7112629621947407;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.008;5;;40rounds;Yes;No;2;0.24156;0.92597;0.02636;0.39792;1.16754;AverageTitForTat2@8;RandomBOAagent@9;0.9259723842123335;0.2415644949624484;0.9259723842123335;0.2415644949624484;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.013;8;;40rounds;Yes;No;2;0.48229;0.67892;0.04940;0.24387;1.16121;RandomBOAagent@10;AverageTitForTat2@11;0.4822881074584457;0.6789201911914613;0.4822881074584457;0.6789201911914613;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.020;12;;40rounds;Yes;No;2;0.53234;0.54039;0.09988;0.17015;1.07272;AverageTitForTat2@12;RandomBOAagent@13;0.5323375083404203;0.5403855570558825;0.5323375083404203;0.5403855570558825;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.010;7;;40rounds;Yes;No;2;0.44126;0.69621;0.06791;0.28831;1.13746;RandomBOAagent@14;AverageTitForTat2@15;0.441255621372356;0.6962059295018994;0.441255621372356;0.6962059295018994;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.032;13;;40rounds;Yes;No;2;0.44536;0.62464;0.12800;0.14492;1.07000;AverageTitForTat2@16;RandomBOAagent@17;0.6246423083125837;0.4453618762438765;0.6246423083125837;0.4453618762438765;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.019;11;;40rounds;Yes;No;2;0.58078;0.58843;0.03184;0.12082;1.16921;RandomBOAagent@18;AverageTitForTat2@19;0.5807785064901496;0.5884322783316438;0.5807785064901496;0.5884322783316438;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.010;6;;40rounds;Yes;No;2;0.43419;0.71271;0.06833;0.13552;1.14691;AverageTitForTat2@20;RandomBOAagent@21;0.7127144937094011;0.4341934841025238;0.7127144937094011;0.4341934841025238;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.012;8;;40rounds;Yes;No;2;0.44680;0.62779;0.10897;0.25995;1.07459;RandomBOAagent@22;AverageTitForTat2@23;0.44680336500886864;0.6277869798009359;0.44680336500886864;0.6277869798009359;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.011;8;;40rounds;Yes;No;2;0.42837;0.74332;0.05167;0.14726;1.17170;AverageTitForTat2@24;RandomBOAagent@25;0.7433244458016739;0.42837147829306993;0.7433244458016739;0.42837147829306993;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.012;8;;40rounds;Yes;No;2;0.53933;0.59493;0.06100;0.16277;1.13426;RandomBOAagent@26;AverageTitForTat2@27;0.5393319430107972;0.5949254359106256;0.5393319430107972;0.5949254359106256;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.009;7;;40rounds;Yes;No;2;0.54271;0.64906;0.03630;0.05741;1.19178;AverageTitForTat2@28;RandomBOAagent@29;0.6490633550550613;0.5427130762690444;0.6490633550550613;0.5427130762690444;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.012;8;;40rounds;Yes;No;2;0.28530;0.76500;0.12169;0.45867;1.05030;RandomBOAagent@30;AverageTitForTat2@31;0.2853044345168566;0.7649998617012717;0.2853044345168566;0.7649998617012717;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.011;8;;40rounds;Yes;No;2;0.42907;0.66141;0.11061;0.14528;1.09049;AverageTitForTat2@32;RandomBOAagent@33;0.6614146613234044;0.4290711880309249;0.6614146613234044;0.4290711880309249;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.007;5;;40rounds;Yes;No;2;0.54168;0.65427;0.02164;0.17981;1.19594;RandomBOAagent@34;AverageTitForTat2@35;0.5416753841185412;0.6542678256165849;0.5416753841185412;0.6542678256165849;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.014;9;;40rounds;Yes;No;2;0.38895;0.67611;0.12576;0.18175;1.06506;AverageTitForTat2@36;RandomBOAagent@37;0.6761084448294052;0.38895392551803165;0.6761084448294052;0.38895392551803165;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.010;7;;40rounds;Yes;No;2;0.31921;0.83415;0.04868;0.46398;1.15335;RandomBOAagent@38;AverageTitForTat2@39;0.3192070366285288;0.8341469087796344;0.3192070366285288;0.8341469087796344;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.008;6;;40rounds;Yes;No;2;0.34204;0.76285;0.09280;0.23561;1.10489;AverageTitForTat2@40;RandomBOAagent@41;0.7628526784455787;0.3420416565687158;0.7628526784455787;0.3420416565687158;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
