sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.061;6;;40rounds;Yes;No;2;0.62461;0.79019;0.12455;0.19155;1.41480;AverageTitForTat1@0;RandomBOAagent@1;0.7901859707327138;0.6246144449218772;0.7901859707327138;0.6246144449218772;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.018;4;;40rounds;Yes;No;2;0.40392;0.71046;0.25746;0.42794;1.11438;RandomBOAagent@2;AverageTitForTat1@3;0.40391728067078125;0.7104592112192907;0.40391728067078125;0.7104592112192907;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.023;6;;40rounds;Yes;No;2;0.31392;0.80300;0.17676;0.50030;1.11693;AverageTitForTat1@4;RandomBOAagent@5;0.8030049904053875;0.31392390850020807;0.8030049904053875;0.31392390850020807;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.059;11;;40rounds;Yes;No;2;0.58941;0.69480;0.22632;0.25880;1.28421;RandomBOAagent@6;AverageTitForTat1@7;0.589408235567162;0.694804375256106;0.589408235567162;0.694804375256106;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.006;5;;40rounds;Yes;No;2;0.47909;0.71663;0.23527;0.35021;1.19572;AverageTitForTat1@8;RandomBOAagent@9;0.7166293039229226;0.4790896538261024;0.7166293039229226;0.4790896538261024;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.006;3;;40rounds;Yes;No;2;0.34792;0.96746;0.02189;0.49559;1.31539;RandomBOAagent@10;AverageTitForTat1@11;0.3479248775220335;0.9674635266262243;0.3479248775220335;0.9674635266262243;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.004;4;;40rounds;Yes;No;2;0.26422;0.72275;0.26038;0.55813;0.98697;AverageTitForTat1@12;RandomBOAagent@13;0.7227464064226874;0.2642206566105528;0.7227464064226874;0.2642206566105528;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.006;5;;40rounds;Yes;No;2;0.35849;0.70176;0.27441;0.47413;1.06024;RandomBOAagent@14;AverageTitForTat1@15;0.35848745805003623;0.7017567378373708;0.35848745805003623;0.7017567378373708;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.013;10;;40rounds;Yes;No;2;0.76513;0.80747;0.04343;0.05020;1.57261;AverageTitForTat1@16;RandomBOAagent@17;0.8074715126808268;0.7651340654334722;0.8074715126808268;0.7651340654334722;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.007;5;;40rounds;Yes;No;2;0.41656;0.73152;0.23429;0.41094;1.14808;RandomBOAagent@18;AverageTitForTat1@19;0.4165649161646402;0.7315198462383475;0.4165649161646402;0.7315198462383475;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.006;5;;40rounds;Yes;No;2;0.39702;0.78312;0.18305;0.41849;1.18014;AverageTitForTat1@20;RandomBOAagent@21;0.7831152135836502;0.39702225596471336;0.7831152135836502;0.39702225596471336;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.009;7;;40rounds;Yes;No;2;0.51196;0.74994;0.19782;0.31379;1.26190;RandomBOAagent@22;AverageTitForTat1@23;0.5119602451192626;0.7499352322401633;0.5119602451192626;0.7499352322401633;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.012;7;;40rounds;Yes;No;2;0.40394;0.87901;0.09101;0.41437;1.28295;AverageTitForTat1@24;RandomBOAagent@25;0.8790094054643351;0.4039369667649701;0.8790094054643351;0.4039369667649701;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.014;10;;40rounds;Yes;No;2;0.40725;0.85727;0.11328;0.41417;1.26452;RandomBOAagent@26;AverageTitForTat1@27;0.4072499003499752;0.8572682081682161;0.4072499003499752;0.8572682081682161;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.011;8;;40rounds;Yes;No;2;0.65591;0.75967;0.14595;0.16887;1.41558;AverageTitForTat1@28;RandomBOAagent@29;0.7596691003562339;0.655912275441633;0.7596691003562339;0.655912275441633;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.007;5;;40rounds;Yes;No;2;0.53422;0.73673;0.20645;0.29521;1.27095;RandomBOAagent@30;AverageTitForTat1@31;0.5342197425672262;0.7367329425917839;0.5342197425672262;0.7367329425917839;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
;;;0.006;5;;40rounds;Yes;No;2;0.72058;0.78365;0.09072;0.10312;1.50423;AverageTitForTat1@32;RandomBOAagent@33;0.7205830330371396;0.7836451861769546;0.7205830330371396;0.7836451861769546;0.0;0.0;JaspAronLargeDiscreteDomain_util1.xml;JaspAronLargeDiscreteDomain_util2.xml
