sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.036;8;;40rounds;Yes;No;2;0.30002;0.87918;0.03083;0.32327;1.17920;AverageTitForTat1@0;RandomBOAagent@1;0.8791763149823869;0.3000232412894068;0.8791763149823869;0.3000232412894068;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.023;11;;40rounds;Yes;No;2;0.47062;0.74831;0.01122;0.29111;1.21893;RandomBOAagent@2;AverageTitForTat1@3;0.47061858456233785;0.748306789680919;0.47061858456233785;0.748306789680919;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.008;5;;40rounds;Yes;No;2;0.43835;0.59961;0.15009;0.16489;1.03796;AverageTitForTat1@4;RandomBOAagent@5;0.5996052173719499;0.43835244364175147;0.5996052173719499;0.43835244364175147;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.006;3;;40rounds;Yes;No;2;0.42382;0.77450;0.02659;0.34421;1.19832;RandomBOAagent@6;AverageTitForTat1@7;0.4238208651261096;0.7745023402311808;0.4238208651261096;0.7745023402311808;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.018;8;;40rounds;Yes;No;2;0.36367;0.73343;0.10089;0.20815;1.09710;AverageTitForTat1@8;RandomBOAagent@9;0.7334293493290834;0.36367189263070354;0.7334293493290834;0.36367189263070354;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.009;6;;40rounds;Yes;No;2;0.44879;0.63936;0.10038;0.26088;1.08816;RandomBOAagent@10;AverageTitForTat1@11;0.44879255340849766;0.6393637124621575;0.44879255340849766;0.6393637124621575;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.012;8;;40rounds;Yes;No;2;0.30126;0.74149;0.13680;0.27105;1.04276;AverageTitForTat1@12;RandomBOAagent@13;0.7414909813858216;0.3012640235479506;0.7414909813858216;0.3012640235479506;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.008;5;;40rounds;Yes;No;2;0.39369;0.66147;0.12575;0.31997;1.05515;RandomBOAagent@14;AverageTitForTat1@15;0.3936885706532891;0.6614660447718961;0.3936885706532891;0.6614660447718961;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.020;4;;40rounds;Yes;No;2;0.52596;0.63648;0.05538;0.07683;1.16244;AverageTitForTat1@16;RandomBOAagent@17;0.6364786357150851;0.5259623224734088;0.6364786357150851;0.5259623224734088;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.005;3;;40rounds;Yes;No;2;0.43445;0.64356;0.10654;0.27582;1.07801;RandomBOAagent@18;AverageTitForTat1@19;0.43445239525635876;0.6435584746349335;0.43445239525635876;0.6435584746349335;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.008;6;;40rounds;Yes;No;2;0.20395;0.95622;0.01460;0.44607;1.16017;AverageTitForTat1@20;RandomBOAagent@21;0.9562200530834919;0.20394541954494988;0.9562200530834919;0.20394541954494988;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.006;4;;40rounds;Yes;No;2;0.49903;0.70263;0.02121;0.24131;1.20165;RandomBOAagent@22;AverageTitForTat1@23;0.4990264243517332;0.7026258380440966;0.4990264243517332;0.7026258380440966;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.010;5;;40rounds;Yes;No;2;0.46603;0.68577;0.06690;0.10407;1.15181;AverageTitForTat1@24;RandomBOAagent@25;0.6857748067756939;0.46603274691513846;0.6857748067756939;0.46603274691513846;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.007;5;;40rounds;Yes;No;2;0.53065;0.54263;0.09985;0.16204;1.07328;RandomBOAagent@26;AverageTitForTat1@27;0.5426315362488481;0.5306503238682585;0.5426315362488481;0.5306503238682585;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.007;5;;40rounds;Yes;No;2;0.48215;0.72729;0.02771;0.09114;1.20943;AverageTitForTat1@28;RandomBOAagent@29;0.727286686800405;0.4821458777484012;0.727286686800405;0.4821458777484012;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.016;11;;40rounds;Yes;No;2;0.40035;0.73980;0.06848;0.34489;1.14014;RandomBOAagent@30;AverageTitForTat1@31;0.4003458396176781;0.739796365307979;0.4003458396176781;0.739796365307979;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.010;7;;40rounds;Yes;No;2;0.41647;0.77073;0.03708;0.16823;1.18720;AverageTitForTat1@32;RandomBOAagent@33;0.770734847136182;0.4164658764650618;0.770734847136182;0.4164658764650618;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.010;6;;40rounds;Yes;No;2;0.44057;0.71796;0.05235;0.29913;1.15853;RandomBOAagent@34;AverageTitForTat1@35;0.4405745327023549;0.7179591180742928;0.4405745327023549;0.7179591180742928;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
