sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.046;5;;40rounds;Yes;No;2;0.32060;0.92438;0.00000;0.42325;1.24498;TimeDependentAgentLinear@0;RandomBOAagent@1;0.9243755328027667;0.32060294496100544;0.9243755328027667;0.32060294496100544;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.051;16;;40rounds;Yes;No;2;0.52117;0.74406;0.00000;0.16160;1.26523;RandomBOAagent@2;TimeDependentAgentLinear@3;0.5211712318291764;0.7440578259958484;0.5211712318291764;0.7440578259958484;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.070;15;;40rounds;Yes;No;2;0.50306;0.74320;0.01461;0.16651;1.24626;TimeDependentAgentLinear@4;RandomBOAagent@5;0.7431995021133562;0.5030557870133872;0.7431995021133562;0.5030557870133872;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.035;13;;40rounds;Yes;No;2;0.45647;0.79736;0.00000;0.24523;1.25383;RandomBOAagent@6;TimeDependentAgentLinear@7;0.4564719079317682;0.7973585261571454;0.4564719079317682;0.7973585261571454;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.034;10;;40rounds;Yes;No;2;0.40733;0.84777;0.00000;0.30758;1.25510;TimeDependentAgentLinear@8;RandomBOAagent@9;0.8477733823159715;0.4073303854784269;0.8477733823159715;0.4073303854784269;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.039;15;;40rounds;Yes;No;2;0.49124;0.76210;0.00714;0.19578;1.25335;RandomBOAagent@10;TimeDependentAgentLinear@11;0.49124214648936015;0.7621043757822963;0.49124214648936015;0.7621043757822963;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.018;8;;40rounds;Yes;No;2;0.37299;0.87111;0.00876;0.34864;1.24410;TimeDependentAgentLinear@12;RandomBOAagent@13;0.8711099148894611;0.3729899401129401;0.8711099148894611;0.3729899401129401;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.040;20;;40rounds;Yes;No;2;0.57758;0.67035;0.01386;0.07097;1.24793;RandomBOAagent@14;TimeDependentAgentLinear@15;0.5775818228212293;0.6703484662700855;0.5775818228212293;0.6703484662700855;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.017;9;;40rounds;Yes;No;2;0.38815;0.85555;0.00876;0.32696;1.24370;TimeDependentAgentLinear@16;RandomBOAagent@17;0.8555515634921774;0.3881501029086237;0.8555515634921774;0.3881501029086237;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.055;10;;40rounds;Yes;No;2;0.40784;0.85189;0.00000;0.31803;1.25973;RandomBOAagent@18;TimeDependentAgentLinear@19;0.40783949811592113;0.851887603313105;0.40783949811592113;0.851887603313105;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.055;11;;40rounds;Yes;No;2;0.42538;0.81784;0.00714;0.27408;1.24322;TimeDependentAgentLinear@20;RandomBOAagent@21;0.8178442969761553;0.4253769352648748;0.8178442969761553;0.4253769352648748;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.014;6;;40rounds;Yes;No;2;0.32562;0.92940;0.00000;0.43101;1.25502;RandomBOAagent@22;TimeDependentAgentLinear@23;0.3256244671972332;0.9293970550389946;0.3256244671972332;0.9293970550389946;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.035;15;;40rounds;Yes;No;2;0.50306;0.74320;0.01461;0.16651;1.24626;TimeDependentAgentLinear@24;RandomBOAagent@25;0.7431995021133562;0.5030557870133872;0.7431995021133562;0.5030557870133872;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.013;7;;40rounds;Yes;No;2;0.35457;0.90427;0.00000;0.39274;1.25885;RandomBOAagent@26;TimeDependentAgentLinear@27;0.3545738802026154;0.9042745984650398;0.3545738802026154;0.9042745984650398;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
;;;0.021;11;;40rounds;Yes;No;2;0.42538;0.81784;0.00714;0.27408;1.24322;TimeDependentAgentLinear@28;RandomBOAagent@29;0.8178442969761553;0.4253769352648748;0.8178442969761553;0.4253769352648748;0.0;0.0;JaspAronSmallDiscreteDomain_util4.xml;JaspAronSmallDiscreteDomain_util5.xml
